condition,t_s,vrms,irms,power
idle,0.0,0.0,0.0014,0.3033
idle,1.0,0.0,0.0013,0.2773
idle,2.0,0.0,0.0013,0.2809
idle,3.0,0.0,0.0013,0.2816
idle,4.0,0.0,0.0013,0.2782
idle,5.001,0.0,0.0012,0.2694
idle,6.001,0.0,0.0013,0.2803
idle,7.0,0.0,0.0012,0.2706
idle,8.001,0.0,0.0012,0.2735
idle,9.001,0.0,0.0013,0.2782
idle,10.002,0.0,0.0013,0.2759
idle,11.0,0.0,0.0013,0.2778
idle,12.001,0.0,0.0013,0.2774
idle,13.001,0.0,0.0013,0.2799
idle,14.002,0.0,0.0013,0.2836
idle,15.001,0.0,0.0013,0.2846
idle,16.0,0.0,0.0012,0.2713
idle,17.001,0.0,0.0013,0.2781
idle,18.001,0.0,0.0013,0.279
idle,19.001,0.0,0.0012,0.2644
idle,20.002,0.0,0.0013,0.2893
idle,21.002,0.0,0.0013,0.2788
idle,22.001,0.0,0.0012,0.2708
idle,23.001,0.0,0.0012,0.2745
idle,24.002,0.0,0.0013,0.2917
idle,25.002,0.0,0.0013,0.2926
idle,26.002,0.0,0.0013,0.2775
idle,27.001,0.0,0.0013,0.2844
idle,28.001,0.0,0.0013,0.2754
idle,29.002,0.0,0.0013,0.278
idle,30.002,0.0,0.0012,0.2684
idle,31.002,0.0,0.0013,0.2758
idle,32.001,0.0,0.0013,0.2812
idle,33.002,0.0,0.0013,0.2778
idle,34.002,0.0,0.0012,0.2749
idle,35.002,0.0,0.0013,0.2758
idle,36.003,0.0,0.0012,0.2719
idle,37.003,0.0,0.0013,0.2775
idle,38.002,0.0,0.0012,0.2749
idle,39.003,0.0,0.0013,0.2808
idle,40.003,0.0,0.0013,0.2844
idle,41.003,0.0,0.0012,0.2729
idle,42.004,0.0,0.0013,0.2805
idle,43.002,0.0,0.0013,0.2822
idle,44.002,0.0,0.0013,0.2796
idle,45.003,0.0,0.0012,0.2659
idle,46.003,0.0,0.0013,0.2786
idle,47.004,0.0,0.0012,0.2718
idle,48.002,0.0,0.0013,0.2767
idle,49.003,0.0,0.0013,0.2916
idle,50.004,0.0,0.0013,0.2855
idle,51.003,0.0,0.0013,0.2806
idle,52.003,0.0,0.0013,0.2751
idle,53.004,0.0,0.0012,0.2604
idle,54.003,0.0,0.0013,0.287
idle,55.004,0.0,0.0013,0.2835
idle,56.004,0.0,0.0013,0.2798
idle,57.004,0.0,0.0013,0.276
idle,58.005,0.0,0.0013,0.2792
idle,59.003,0.0,0.0013,0.2796
idle,60.003,0.0,0.0012,0.2687
idle,61.004,0.0,0.0014,0.3005
idle,62.004,0.0,0.0013,0.2751
idle,63.005,0.0,0.0012,0.2733
idle,64.004,0.0,0.0012,0.2656
idle,65.004,0.0,0.0013,0.2793
idle,66.004,0.0,0.0013,0.2822
idle,67.005,0.0,0.0013,0.2858
idle,68.004,0.0,0.0012,0.2721
idle,69.005,0.0,0.0013,0.2845
idle,70.004,0.0,0.0013,0.2771
idle,71.005,0.0,0.0013,0.2819
idle,72.004,0.0,0.0013,0.2897
idle,73.005,0.0,0.0012,0.2694
idle,74.006,0.0,0.0012,0.2726
idle,75.004,0.0,0.0013,0.2757
idle,76.004,0.0,0.0013,0.2837
idle,77.005,0.0,0.0012,0.2729
idle,78.005,0.0,0.0013,0.2947
idle,79.006,0.0,0.0013,0.2777
idle,80.005,0.0,0.0013,0.2798
idle,81.005,0.0,0.0013,0.2854
idle,82.005,0.0,0.0013,0.2775
idle,83.005,0.0,0.0012,0.2722
idle,84.006,0.0,0.0012,0.2699
idle,85.006,0.0,0.0012,0.2721
idle,86.005,0.0,0.0013,0.2766
idle,87.005,0.0,0.0012,0.2669
idle,88.005,0.0,0.0013,0.2787
idle,89.006,0.0,0.0013,0.2781
idle,90.006,0.0,0.0012,0.2749
idle,91.005,0.0,0.0013,0.2756
idle,92.005,0.0,0.0012,0.2712
idle,93.006,0.0,0.0013,0.2899
idle,94.007,0.0,0.0012,0.2689
idle,95.007,0.0,0.0013,0.2757
idle,96.006,0.0,0.0012,0.2747
idle,97.005,0.0,0.0013,0.2786
idle,98.006,0.0,0.0013,0.2837
idle,99.006,0.0,0.0013,0.2896
idle,100.007,0.0,0.0013,0.282
idle,101.007,0.0,0.0013,0.2812
idle,102.006,0.0,0.0012,0.2696
idle,103.006,0.0,0.0013,0.2792
idle,104.006,0.0,0.0013,0.2753
idle,105.007,0.0,0.0012,0.2725
idle,106.007,0.0,0.0013,0.2831
idle,107.006,0.0,0.0013,0.2799
idle,108.006,0.0,0.0012,0.2737
idle,109.007,0.0,0.0012,0.2743
idle,110.01,0.0,0.0013,0.2807
idle,111.007,0.0,0.0012,0.2693
idle,112.008,0.0,0.0013,0.2843
idle,113.007,0.0,0.0012,0.2667
idle,114.007,0.0,0.0013,0.2835
idle,115.007,0.0,0.0013,0.2833
idle,116.007,0.0,0.0013,0.2839
idle,117.008,0.0,0.0013,0.2864
idle,118.007,0.0,0.0013,0.2766
idle,119.008,0.0,0.0013,0.2772
idle,120.008,0.0,0.0012,0.2732
idle,121.007,0.0,0.0013,0.283
idle,122.009,0.0,0.0013,0.295
idle,123.007,0.0,0.0013,0.2861
idle,124.008,0.0,0.0013,0.2839
idle,125.008,0.0,0.0013,0.2795
idle,126.008,0.0,0.0013,0.277
idle,127.008,0.0,0.0012,0.2691
idle,128.008,0.0,0.0013,0.2762
idle,129.008,0.0,0.0013,0.2836
idle,130.008,0.0,0.0013,0.2776
steady_load,0.0,0.0029,0.2431,53.4858
steady_load,1.001,0.0029,0.2451,53.9156
steady_load,2.001,0.0029,0.2403,52.8571
steady_load,3.001,0.0029,0.2471,54.3612
steady_load,4.001,0.0029,0.2405,52.907
steady_load,5.0,0.0029,0.2469,54.319
steady_load,6.001,0.0029,0.2423,53.3153
steady_load,7.001,0.0029,0.2456,54.0275
steady_load,8.001,0.0029,0.2453,53.9555
steady_load,9.002,0.0029,0.2434,53.5388
steady_load,10.002,0.0029,0.2476,54.4713
steady_load,11.001,0.0029,0.2415,53.1347
steady_load,12.001,0.0029,0.2486,54.691
steady_load,13.001,0.0029,0.2428,53.4139
steady_load,14.002,0.0029,0.2461,54.1516
steady_load,15.002,0.0029,0.2463,54.1947
steady_load,16.001,0.0029,0.2419,53.2267
steady_load,17.001,0.003,0.2489,54.7629
steady_load,18.002,0.0029,0.2425,53.3572
steady_load,19.002,0.0029,0.2461,54.1479
steady_load,20.002,0.0029,0.247,54.3481
steady_load,21.001,0.0029,0.2421,53.2664
steady_load,22.002,0.003,0.2489,54.7676
steady_load,23.002,0.0029,0.2429,53.4278
steady_load,24.002,0.0029,0.2462,54.1547
steady_load,25.002,0.0029,0.2472,54.3909
steady_load,26.003,0.0029,0.242,53.2497
steady_load,27.002,0.003,0.2488,54.7375
steady_load,28.002,0.0029,0.2444,53.7583
steady_load,29.003,0.0029,0.2444,53.7731
steady_load,30.003,0.003,0.249,54.7903
steady_load,31.003,0.0029,0.2433,53.5303
steady_load,32.002,0.0029,0.2458,54.0751
steady_load,33.002,0.003,0.2488,54.7257
steady_load,34.003,0.0029,0.2422,53.2756
steady_load,35.003,0.0029,0.2473,54.4013
steady_load,36.003,0.0029,0.2468,54.2913
steady_load,37.002,0.0029,0.2421,53.2681
steady_load,38.003,0.0029,0.2482,54.6106
steady_load,39.003,0.0029,0.2438,53.6379
steady_load,40.003,0.0029,0.2456,54.0413
steady_load,41.003,0.0029,0.2471,54.3675
steady_load,42.004,0.0029,0.2421,53.2606
steady_load,43.003,0.003,0.2487,54.7055
steady_load,44.003,0.0029,0.244,53.6839
steady_load,45.003,0.0029,0.2438,53.6437
steady_load,46.004,0.0029,0.2485,54.6686
steady_load,47.004,0.0029,0.2422,53.2759
steady_load,48.003,0.0029,0.2468,54.2919
steady_load,49.004,0.0029,0.2461,54.1352
steady_load,50.004,0.0029,0.2424,53.3183
steady_load,51.004,0.003,0.2489,54.7526
steady_load,52.004,0.0029,0.2426,53.3674
steady_load,53.003,0.0029,0.2464,54.2038
steady_load,54.004,0.0029,0.2462,54.1661
steady_load,55.004,0.0029,0.2421,53.2651
steady_load,56.004,0.003,0.2487,54.7179
steady_load,57.005,0.0029,0.2425,53.3483
steady_load,58.005,0.0029,0.2462,54.1711
steady_load,59.004,0.0029,0.2468,54.2899
steady_load,60.004,0.0029,0.2423,53.2958
steady_load,61.005,0.0029,0.2485,54.6725
steady_load,62.005,0.0029,0.2424,53.326
steady_load,63.005,0.0029,0.2459,54.1037
steady_load,64.005,0.0029,0.2465,54.2247
steady_load,65.005,0.0029,0.2427,53.3964
steady_load,66.005,0.0029,0.2485,54.6602
steady_load,67.006,0.0029,0.2418,53.191
steady_load,68.005,0.0029,0.2468,54.3051
steady_load,69.004,0.0029,0.2449,53.8821
steady_load,70.005,0.0029,0.2428,53.425
steady_load,71.005,0.0029,0.2482,54.61
steady_load,72.005,0.0029,0.2414,53.0971
steady_load,73.006,0.0029,0.2474,54.4384
steady_load,74.006,0.0029,0.2449,53.8877
steady_load,75.006,0.0029,0.2434,53.5545
steady_load,76.006,0.0029,0.2484,54.6417
steady_load,77.006,0.0029,0.2413,53.0937
steady_load,78.006,0.0029,0.2475,54.4558
steady_load,79.007,0.0029,0.2446,53.8143
steady_load,80.005,0.0029,0.243,53.45
steady_load,81.005,0.0029,0.2483,54.6218
steady_load,82.006,0.0029,0.2415,53.1198
steady_load,83.006,0.0029,0.2474,54.4283
steady_load,84.006,0.0029,0.2456,54.0228
steady_load,85.007,0.0029,0.243,53.4594
steady_load,86.006,0.0029,0.2482,54.5931
steady_load,87.006,0.0029,0.2416,53.1461
steady_load,88.007,0.003,0.2491,54.7913
steady_load,89.007,0.0029,0.243,53.4664
steady_load,90.007,0.0029,0.2465,54.2405
steady_load,91.006,0.0029,0.2472,54.377
steady_load,92.007,0.0029,0.243,53.45
steady_load,93.007,0.003,0.2493,54.8354
steady_load,94.007,0.0029,0.2428,53.4069
steady_load,95.008,0.0029,0.248,54.5529
steady_load,96.007,0.0029,0.2464,54.2083
steady_load,97.006,0.0029,0.244,53.6737
steady_load,98.007,0.003,0.2496,54.9158
steady_load,99.007,0.0029,0.2425,53.3483
steady_load,100.008,0.003,0.2488,54.74
steady_load,101.008,0.0029,0.2457,54.0569
steady_load,102.007,0.0029,0.2444,53.7681
steady_load,103.008,0.003,0.2491,54.7984
steady_load,104.008,0.0029,0.2428,53.4203
steady_load,105.008,0.0029,0.2457,54.0508
steady_load,106.008,0.0029,0.2484,54.6447
steady_load,107.007,0.0029,0.2429,53.4301
steady_load,108.008,0.0029,0.2461,54.1459
steady_load,109.008,0.0029,0.2485,54.6618
steady_load,110.008,0.0029,0.2431,53.4786
steady_load,111.008,0.0029,0.2456,54.0228
steady_load,112.007,0.003,0.2488,54.741
steady_load,113.007,0.0029,0.2432,53.5059
steady_load,114.008,0.0029,0.2452,53.953
steady_load,115.008,0.003,0.2489,54.7531
steady_load,116.009,0.0029,0.2432,53.4956
steady_load,117.009,0.0029,0.2457,54.0485
steady_load,118.008,0.0029,0.2486,54.6891
steady_load,119.008,0.0029,0.2423,53.3065
steady_load,120.008,0.0029,0.2471,54.3714
steady_load,121.009,0.0029,0.2477,54.49
steady_load,122.009,0.0029,0.2427,53.3946
steady_load,123.008,0.003,0.2492,54.8285
steady_load,124.009,0.0029,0.2455,54.0005
steady_load,125.009,0.0029,0.2445,53.7934
steady_load,126.009,0.003,0.2494,54.8662
steady_load,127.01,0.0029,0.2437,53.6065
steady_load,128.008,0.0029,0.2452,53.9347
steady_load,129.009,0.003,0.2488,54.7399
steady_load,130.009,0.0029,0.2433,53.5291
