t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
3.020525,0.000014,0.0013,0.3048,0,,,,,
4.019578,0.000014,0.0013,0.3010,0,,,,,
5.019798,0.000014,0.0013,0.3016,0,,,,,
6.020014,0.000014,0.0013,0.3026,0,,,,,
7.020230,0.000014,0.0013,0.2972,0,,,,,
8.020450,0.000014,0.0013,0.3095,0,,,,,
9.019503,0.000013,0.0012,0.2890,0,,,,,
10.019723,0.000015,0.0013,0.3184,0,,,,,
11.019939,0.000014,0.0013,0.2960,0,,,,,
12.020155,0.000015,0.0013,0.3162,0,,,,,
13.020375,0.000014,0.0012,0.2958,0,,,,,
14.019428,0.000014,0.0013,0.3059,0,,,,,
15.019644,0.000014,0.0013,0.3021,0,,,,,
16.019863,0.000014,0.0012,0.2943,0,,,,,
17.020081,0.000015,0.0014,0.3207,0,,,,,
18.020296,0.000013,0.0012,0.2891,0,,,,,
19.020515,0.000014,0.0013,0.2994,0,,,,,
20.019567,0.000013,0.0012,0.2852,0,,,,,
21.019785,0.000014,0.0013,0.2963,0,,,,,
22.020004,0.000014,0.0013,0.3081,0,,,,,
23.020220,0.000013,0.0012,0.2889,0,,,,,
24.020435,0.000014,0.0013,0.3102,0,,,,,
25.019493,0.000014,0.0012,0.2938,0,,,,,
26.019711,0.017089,1.5678,371.1834,0,,,,,
27.019926,0.037961,3.4828,824.5507,0,,,,,
28.020145,0.035388,3.2467,768.6519,0,,,,,
29.020363,0.038864,3.5656,844.1599,0,,,,,
30.019417,0.035975,3.3006,781.4136,0,,,,,
31.019636,0.037253,3.4178,809.1599,0,,,,,
32.019852,0.038339,3.5174,832.7480,0,,,,,
33.020069,0.035247,3.2338,765.5927,0,,,,,
34.020287,0.038713,3.5518,840.8786,0,,,,,
35.020504,0.037217,3.4145,808.3746,1,26.019711,812.1566,1,-1,1
36.019718,0.035259,3.2349,765.8592,0,,,,,
37.019939,0.038419,3.5248,834.4893,0,,,,,
38.020157,0.037486,3.4392,814.2316,0,,,,,
39.020374,0.035606,3.2667,773.3822,0,,,,,
40.019428,0.039040,3.5817,847.9677,0,,,,,
41.019646,0.036102,3.3122,784.1613,0,,,,,
42.019863,0.037249,3.4174,809.0698,0,,,,,
43.020081,0.038405,3.5235,834.1822,0,,,,,
44.020294,0.035294,3.2381,766.6188,0,,,,,
45.020515,0.038810,3.5607,842.9860,0,,,,,
47.019783,0.037172,3.4104,807.4089,0,,,,,
48.020004,0.038257,3.5099,830.9774,0,,,,,
49.020222,0.035489,3.2559,770.8437,0,,,,,
50.020435,0.038917,3.5705,845.3098,0,,,,,
51.019497,0.035848,3.2889,778.6429,0,,,,,
52.019711,0.037772,3.4654,820.4271,0,,,,,
53.019928,0.037509,3.4413,814.7260,0,,,,,
54.020145,0.035959,3.2991,781.0549,0,,,,,
55.020359,0.038738,3.5540,841.4193,0,,,,,
56.019417,0.035400,3.2478,768.9241,0,,,,,
57.019634,0.038528,3.5348,836.8597,0,,,,,
58.019852,0.036550,3.3533,793.9022,0,,,,,
59.020069,0.036812,3.3774,799.5903,0,,,,,
60.020287,0.038332,3.5168,832.6073,0,,,,,
61.020504,0.035291,3.2378,766.5400,0,,,,,
62.019562,0.038776,3.5576,842.2529,0,,,,,
63.019775,0.036122,3.3140,784.5969,0,,,,,
64.019989,0.037169,3.4101,807.3372,0,,,,,
65.020210,0.038116,3.4970,827.9153,0,,,,,
66.020432,0.035344,3.2427,767.6986,0,,,,,
67.019478,0.038772,3.5572,842.1666,0,,,,,
68.019707,0.035987,3.3016,781.6586,0,,,,,
69.019920,0.037042,3.3984,804.5797,0,,,,,
70.020134,0.038166,3.5016,829.0013,0,,,,,
71.020355,0.035057,3.2163,761.4633,0,,,,,
72.019409,0.038537,3.5356,837.0555,0,,,,,
73.019623,0.036604,3.3582,795.0580,0,,,,,
74.019836,0.036231,3.3240,786.9641,0,,,,,
75.020058,0.038626,3.5438,838.9836,0,,,,,
76.020271,0.035188,3.2283,764.3098,0,,,,,
77.020493,0.038127,3.4980,828.1397,0,,,,,
78.019547,0.037019,3.3964,804.0876,0,,,,,
79.019760,0.035908,3.2944,779.9440,0,,,,,
80.019981,0.038593,3.5407,838.2694,0,,,,,
81.020203,0.035184,3.2279,764.2153,0,,,,,
82.020416,0.038089,3.4945,827.3143,0,,,,,
83.019470,0.036646,3.3621,795.9886,0,,,,,
84.019691,0.036307,3.3310,788.6156,0,,,,,
85.019905,0.038252,3.5095,830.8638,0,,,,,
86.020126,0.035070,3.2176,761.7556,0,,,,,
87.020332,0.038507,3.5329,836.4069,0,,,,,
88.019402,0.035666,3.2722,774.6839,0,,,,,
89.019615,0.037485,3.4391,814.1980,0,,,,,
90.019829,0.037001,3.3946,803.6810,0,,,,,
91.020050,0.036072,3.3094,783.5078,0,,,,,
92.020264,0.037999,3.4863,825.3771,0,,,,,
93.020477,0.035294,3.2380,766.6030,0,,,,,
94.019539,0.038404,3.5234,834.1685,0,,,,,
95.019753,0.035120,3.2221,762.8383,0,,,,,
96.019966,0.038351,3.5185,833.0012,0,,,,,
97.020195,0.035343,3.2425,767.6664,0,,,,,
98.020409,0.037986,3.4851,825.0874,0,,,,,
99.019455,0.035838,3.2880,778.4280,0,,,,,
100.019676,0.037507,3.4411,814.6822,0,,,,,
101.019897,0.036501,3.3488,792.8336,0,,,,,
102.020111,0.036696,3.3667,797.0598,0,,,,,
103.020325,0.037261,3.4185,809.3298,0,,,,,
104.019386,0.035950,3.2982,780.8546,0,,,,,
105.019600,0.037855,3.4731,822.2462,0,,,,,
106.019821,0.035419,3.2495,769.3251,0,,,,,
107.020035,0.038196,3.5043,829.6527,0,,,,,
108.020256,0.035235,3.2326,765.3257,0,,,,,
109.020470,0.038266,3.5107,831.1609,0,,,,,
110.019531,0.035127,3.2227,762.9813,0,,,,,
111.019745,0.038294,3.5133,831.7752,0,,,,,
112.019958,0.035174,3.2270,763.9990,0,,,,,
113.020180,0.038237,3.5081,830.5459,0,,,,,
114.020401,0.035265,3.2354,765.9789,0,,,,,
115.019447,0.038045,3.4904,826.3591,0,,,,,
116.019661,0.035474,3.2546,770.5181,0,,,,,
117.019890,0.037713,3.4600,819.1588,0,,,,,
118.020103,0.035912,3.2948,780.0458,0,,,,,
119.020317,0.037243,3.4169,808.9452,0,,,,,
120.020538,0.036419,3.3413,791.0515,0,,,,,
121.019592,0.036673,3.3646,796.5603,0,,,,,
122.019806,0.036935,3.3886,802.2474,0,,,,,
123.020027,0.036108,3.3128,784.2964,0,,,,,
124.020241,0.037543,3.4444,815.4612,0,,,,,
125.020454,0.035464,3.2536,770.2957,0,,,,,
126.019524,0.038088,3.4944,827.3028,0,,,,,
127.019730,0.034978,3.2091,759.7432,0,,,,,
128.019958,0.038225,3.5069,830.2675,0,,,,,
129.020172,0.035099,3.2202,762.3807,0,,,,,
130.020386,0.037848,3.4724,822.0883,0,,,,,
