capture,t_s,appliance,action
confirm,534.02,sandwich_maker,on
confirm,552.02,sandwich_maker,off
confirm,677.02,charger,on
confirm,695.02,charger,off
confirm,714.02,charger,on
confirm,733.02,charger,off
confirm,769.02,charger,off
confirm,793.02,charger,on
confirm,807.02,charger,off
confirm,825.02,charger,on
confirm,844.02,charger,off
confirm,1387.02,fan,on
confirm,1405.02,fan,off
confirm,1428.02,fan,on
confirm,1446.02,fan,off
confirm,1464.02,fan,on
confirm,1482.02,fan,off
confirm,1500.02,fan,on
confirm,1519.02,fan,off
confirm,1537.02,fan,on
confirm,1555.02,fan,off
confirm-2,26.02,sandwich_maker,on
