t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
3.020516,0.000014,0.0013,0.3014,0,,,,,
4.019569,0.000014,0.0012,0.2935,0,,,,,
5.019791,0.000013,0.0012,0.2895,0,,,,,
6.020005,0.000014,0.0013,0.3008,0,,,,,
7.020221,0.000013,0.0012,0.2868,0,,,,,
8.020441,0.000013,0.0012,0.2883,0,,,,,
9.019495,0.000014,0.0013,0.3027,0,,,,,
10.019716,0.000014,0.0013,0.2976,0,,,,,
11.019930,0.000014,0.0012,0.2948,0,,,,,
12.020146,0.000013,0.0012,0.2896,0,,,,,
13.020366,0.000014,0.0013,0.3048,0,,,,,
14.019419,0.000014,0.0013,0.3022,0,,,,,
15.019637,0.000013,0.0012,0.2919,0,,,,,
16.019857,0.000013,0.0012,0.2862,0,,,,,
17.020073,0.000014,0.0013,0.2984,0,,,,,
18.020288,0.000013,0.0012,0.2836,0,,,,,
19.020508,0.000014,0.0013,0.3015,0,,,,,
20.019562,0.000014,0.0012,0.2939,0,,,,,
21.019775,0.000014,0.0013,0.2986,0,,,,,
22.019999,0.000014,0.0013,0.3067,0,,,,,
23.020214,0.000013,0.0012,0.2929,0,,,,,
24.020428,0.000014,0.0012,0.2944,0,,,,,
25.019487,0.000014,0.0012,0.2941,0,,,,,
26.019705,0.000013,0.0012,0.2905,0,,,,,
27.019917,0.000014,0.0012,0.2957,0,,,,,
28.020136,0.000013,0.0012,0.2768,0,,,,,
29.020355,0.000014,0.0013,0.3105,0,,,,,
30.019405,0.000013,0.0012,0.2864,0,,,,,
31.019629,0.000013,0.0012,0.2894,0,,,,,
32.019840,0.000013,0.0012,0.2863,0,,,,,
33.020061,0.000013,0.0012,0.2922,0,,,,,
34.020279,0.000014,0.0012,0.2937,0,,,,,
35.020496,0.000014,0.0013,0.2974,0,,,,,
36.019550,0.000014,0.0013,0.3005,0,,,,,
37.019768,0.000013,0.0012,0.2875,0,,,,,
38.019985,0.000013,0.0012,0.2887,0,,,,,
39.020203,0.000013,0.0012,0.2873,0,,,,,
40.020420,0.000013,0.0012,0.2913,0,,,,,
41.019470,0.000013,0.0012,0.2923,0,,,,,
42.019695,0.000013,0.0012,0.2887,0,,,,,
43.019909,0.000013,0.0012,0.2930,0,,,,,
44.020123,0.000013,0.0012,0.2801,0,,,,,
45.020344,0.000013,0.0012,0.2932,0,,,,,
46.019398,0.000013,0.0012,0.2916,0,,,,,
47.019615,0.000014,0.0013,0.3024,0,,,,,
48.019833,0.000014,0.0013,0.2993,0,,,,,
49.020054,0.000014,0.0012,0.2938,0,,,,,
50.020267,0.000014,0.0012,0.2954,0,,,,,
51.020485,0.000014,0.0012,0.2939,0,,,,,
52.019539,0.000014,0.0013,0.2984,0,,,,,
53.019753,0.000013,0.0012,0.2855,0,,,,,
54.019978,0.000013,0.0012,0.2895,0,,,,,
55.020191,0.000014,0.0013,0.3030,0,,,,,
56.020409,0.000013,0.0012,0.2744,0,,,,,
57.019463,0.000014,0.0013,0.3018,0,,,,,
58.019680,0.000013,0.0012,0.2892,0,,,,,
59.019897,0.000014,0.0013,0.2993,0,,,,,
60.020115,0.000014,0.0012,0.2945,0,,,,,
61.020332,0.000014,0.0012,0.2952,0,,,,,
62.019386,0.000014,0.0013,0.2975,0,,,,,
