capture,t_s,appliance,action
session-1,1056.02,sandwich_maker,on
session-1,1085.02,sandwich_maker,off
session-2,24.02,sandwich_maker,on
session-2,51.02,sandwich_maker,off
session-2,251.02,sandwich_maker,on
session-2,267.02,sandwich_maker,off
session-2,290.02,sandwich_maker,on
session-2,307.02,sandwich_maker,off
session-2,836.02,sandwich_maker,on
session-2,853.02,sandwich_maker,off_autonomous
session-2,874.02,sandwich_maker,on
session-2,892.02,sandwich_maker,off
session-2,1009.02,sandwich_maker,on
session-2,1027.02,sandwich_maker,off
session-2,1098.02,fan,on
session-2,1116.02,fan,off
session-2,1136.02,fan,on
session-2,1154.02,fan,off
session-2,1172.02,fan,on
session-2,1190.02,fan,off
session-2,1208.02,fan,on
session-2,1226.02,fan,off
session-2,1245.02,fan,on
session-2,1263.02,fan,off
session-2,1385.02,charger,on
session-2,1399.02,charger,off
session-2,1419.02,charger,on
session-2,1437.02,charger,off
session-2,1457.02,charger,on
session-2,1475.02,charger,off
session-2,1499.02,charger,on
session-2,1512.02,charger,off
session-2,1531.02,charger,on
session-2,1550.02,charger,off
session-2,1819.02,sandwich_maker,on
session-2,1923.02,sandwich_maker,off_autonomous
session-2,2248.02,sandwich_maker,on_autonomous
session-2,2292.02,sandwich_maker,off_autonomous
session-2,2652.02,sandwich_maker,off
session-2,2788.02,fan,on
session-2,2831.02,charger,on
session-2,2871.02,sandwich_maker,on
session-2,2900.02,sandwich_maker,off
session-2,2924.02,charger,off
session-2,2947.02,fan,off
session-4,164.02,sandwich_maker,on
session-4,220.02,sandwich_maker,off
session-4,302.02,fan,on
session-4,335.02,charger,on
session-4,370.02,sandwich_maker,on
session-4,397.02,sandwich_maker,off
session-4,422.02,charger,off
session-4,449.02,fan,off
session-4,537.02,fan,on
session-4,561.02,charger,on
session-4,589.02,sandwich_maker,on
session-4,614.02,sandwich_maker,off
session-4,637.02,charger,off
session-4,660.02,fan,off
session-4,727.02,charger,on
session-4,731.02,fan,on
session-4,777.02,fan,off
session-4,777.02,charger,off
session-4,835.02,sandwich_maker,on
session-4,835.02,fan,on
session-4,865.02,sandwich_maker,off
session-4,865.02,fan,off
session-4,984.02,soldering_iron,on
session-4,1002.02,soldering_iron,off
session-4,1021.02,soldering_iron,on
session-4,1039.02,soldering_iron,off
session-4,1057.02,soldering_iron,on
session-4,1076.02,soldering_iron,off
session-4,1095.02,soldering_iron,on
session-4,1113.02,soldering_iron,off
session-4,1131.02,soldering_iron,on
session-4,1149.02,soldering_iron,off
