capture,t_s,appliance,action
results,547.02,sandwich_maker,on
results,684.02,sandwich_maker,off
results,810.02,charger,on
results,829.02,charger,off
results,850.02,charger,on
results,870.02,charger,off
results,886.02,charger,on
results,906.02,charger,off
results,924.02,charger,on
results,944.02,charger,off
results,961.02,charger,on
results,986.02,charger,off
results,1117.02,fan,on
results,1136.02,fan,off
results,1155.02,fan,on
results,1173.02,fan,off
results,1192.02,fan,on
results,1210.02,fan,off
results,1228.02,fan,on
results,1247.02,fan,off
results,1264.02,fan,on
results,1282.02,fan,off
results,1342.02,soldering_iron,on
results,1361.02,soldering_iron,off
results,1379.02,soldering_iron,on
results,1398.02,soldering_iron,off
results,1415.02,soldering_iron,on
results,1434.02,soldering_iron,off
results,1451.02,soldering_iron,on
results,1471.02,soldering_iron,off
results,1489.02,soldering_iron,on
results,1509.02,soldering_iron,off
results,1622.02,sandwich_maker,on
results,1640.02,sandwich_maker,off
results,1663.02,sandwich_maker,on
results,1681.02,sandwich_maker,off
results,1704.02,sandwich_maker,on
results,1722.02,sandwich_maker,off
results,1745.02,sandwich_maker,on
results,1763.02,sandwich_maker,off
results,1787.02,sandwich_maker,on
results,1807.02,sandwich_maker,off
results,1876.02,sandwich_maker,on
results,1923.02,sandwich_maker,off
results,2201.02,sandwich_maker,on
results,2233.02,sandwich_maker,off
results,2521.02,sandwich_maker,on
results,2556.02,sandwich_maker,off
results,2829.02,sandwich_maker,on
results,2865.02,sandwich_maker,off
results,3147.02,sandwich_maker,on
results,3178.02,sandwich_maker,off
