t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
1.020547,0.000026,0.0024,0.5578,0,,,,,
2.019880,0.000018,0.0017,0.4015,0,,,,,
3.019715,0.000017,0.0015,0.3625,0,,,,,
4.019551,0.000016,0.0015,0.3439,0,,,,,
5.020551,0.000016,0.0014,0.3418,0,,,,,
6.020392,0.000015,0.0014,0.3344,0,,,,,
7.020211,0.000016,0.0015,0.3472,0,,,,,
8.020049,0.000015,0.0014,0.3348,0,,,,,
9.019879,0.000015,0.0014,0.3340,0,,,,,
10.019715,0.000016,0.0015,0.3441,0,,,,,
11.019547,0.000015,0.0014,0.3296,0,,,,,
12.020551,0.000016,0.0014,0.3382,0,,,,,
13.020381,0.000015,0.0014,0.3340,0,,,,,
14.020211,0.000016,0.0015,0.3458,0,,,,,
15.020042,0.000016,0.0014,0.3430,0,,,,,
16.019880,0.000016,0.0014,0.3402,0,,,,,
17.019712,0.000015,0.0014,0.3337,0,,,,,
18.019552,0.000015,0.0014,0.3206,0,,,,,
19.020552,0.000016,0.0014,0.3430,0,,,,,
20.020380,0.000016,0.0015,0.3440,0,,,,,
21.020212,0.000016,0.0014,0.3428,0,,,,,
22.020042,0.000016,0.0014,0.3397,0,,,,,
23.019880,0.000016,0.0014,0.3370,0,,,,,
24.019712,0.000016,0.0015,0.3464,0,,,,,
25.019548,0.000015,0.0014,0.3323,0,,,,,
26.020552,0.000016,0.0015,0.3439,0,,,,,
27.020384,0.000016,0.0014,0.3387,0,,,,,
28.020212,0.000016,0.0014,0.3382,0,,,,,
29.020042,0.000016,0.0015,0.3458,0,,,,,
30.019880,0.000015,0.0014,0.3313,0,,,,,
31.019712,0.000015,0.0014,0.3357,0,,,,,
32.019547,0.000016,0.0014,0.3384,0,,,,,
33.020554,0.000016,0.0015,0.3463,0,,,,,
34.020378,0.000016,0.0015,0.3463,0,,,,,
35.020210,0.000016,0.0015,0.3546,0,,,,,
36.020046,0.000016,0.0015,0.3458,0,,,,,
37.019878,0.000016,0.0014,0.3382,0,,,,,
38.019711,0.000016,0.0015,0.3479,0,,,,,
39.019550,0.000016,0.0015,0.3477,0,,,,,
40.020554,0.000016,0.0014,0.3401,0,,,,,
41.020378,0.000016,0.0014,0.3426,0,,,,,
42.020210,0.000016,0.0014,0.3424,0,,,,,
43.020039,0.000016,0.0015,0.3532,0,,,,,
44.019878,0.000016,0.0015,0.3534,0,,,,,
45.019711,0.000016,0.0015,0.3530,0,,,,,
46.019550,0.000016,0.0015,0.3435,0,,,,,
47.020550,0.000016,0.0015,0.3449,0,,,,,
48.020378,0.000016,0.0015,0.3542,0,,,,,
49.020210,0.000016,0.0015,0.3496,0,,,,,
50.020046,0.000016,0.0014,0.3416,0,,,,,
51.019878,0.000015,0.0014,0.3256,0,,,,,
52.019714,0.000016,0.0014,0.3377,0,,,,,
53.019547,0.000015,0.0014,0.3285,0,,,,,
54.020550,0.000016,0.0015,0.3499,0,,,,,
55.020378,0.000016,0.0015,0.3445,0,,,,,
56.020210,0.000016,0.0015,0.3435,0,,,,,
57.020039,0.000016,0.0014,0.3388,0,,,,,
58.019878,0.000015,0.0014,0.3347,0,,,,,
59.019711,0.000016,0.0014,0.3420,0,,,,,
60.019550,0.000015,0.0014,0.3344,0,,,,,
61.020561,0.000016,0.0015,0.3506,0,,,,,
62.020378,0.000015,0.0014,0.3344,0,,,,,
63.020226,0.000016,0.0014,0.3415,0,,,,,
64.020058,0.000016,0.0014,0.3402,0,,,,,
65.019890,0.000016,0.0014,0.3426,0,,,,,
66.019714,0.000016,0.0014,0.3429,0,,,,,
67.019554,0.000016,0.0015,0.3572,0,,,,,
68.020546,0.000016,0.0015,0.3512,0,,,,,
69.020386,0.000015,0.0014,0.3329,0,,,,,
70.020218,0.000016,0.0015,0.3512,0,,,,,
71.020050,0.000016,0.0015,0.3436,0,,,,,
72.019882,0.000015,0.0014,0.3337,0,,,,,
73.019714,0.000016,0.0015,0.3489,0,,,,,
74.019554,0.000016,0.0015,0.3462,0,,,,,
75.020554,0.000016,0.0015,0.3543,0,,,,,
76.020386,0.000016,0.0015,0.3439,0,,,,,
77.020226,0.000016,0.0014,0.3401,0,,,,,
78.020058,0.000015,0.0014,0.3334,0,,,,,
79.019890,0.000016,0.0015,0.3524,0,,,,,
80.019714,0.000015,0.0014,0.3359,0,,,,,
81.019547,0.000016,0.0014,0.3428,0,,,,,
82.020546,0.000016,0.0015,0.3461,0,,,,,
83.020386,0.000016,0.0015,0.3457,0,,,,,
84.020210,0.000016,0.0014,0.3367,0,,,,,
85.020050,0.000015,0.0014,0.3235,0,,,,,
86.019882,0.000016,0.0014,0.3369,0,,,,,
87.019714,0.000016,0.0014,0.3398,0,,,,,
88.019554,0.000016,0.0015,0.3436,0,,,,,
89.020546,0.000015,0.0014,0.3271,0,,,,,
90.020386,0.000016,0.0015,0.3498,0,,,,,
91.020210,0.000016,0.0014,0.3405,0,,,,,
92.020042,0.000016,0.0014,0.3370,0,,,,,
93.019882,0.000015,0.0014,0.3320,0,,,,,
94.019714,0.000016,0.0014,0.3392,0,,,,,
95.019547,0.000016,0.0014,0.3416,0,,,,,
96.020546,0.000016,0.0015,0.3486,0,,,,,
97.020386,0.000015,0.0014,0.3295,0,,,,,
98.020210,0.000016,0.0015,0.3441,0,,,,,
99.020050,0.000016,0.0014,0.3373,0,,,,,
100.019882,0.000016,0.0015,0.3445,0,,,,,
101.019714,0.000015,0.0014,0.3335,0,,,,,
102.019554,0.000016,0.0015,0.3479,0,,,,,
103.020554,0.000016,0.0015,0.3518,0,,,,,
104.020386,0.000016,0.0015,0.3509,0,,,,,
105.020210,0.000016,0.0015,0.3515,0,,,,,
106.020050,0.000015,0.0014,0.3300,0,,,,,
107.019882,0.000016,0.0014,0.3426,0,,,,,
108.019714,0.000016,0.0015,0.3489,0,,,,,
109.019554,0.000016,0.0015,0.3525,0,,,,,
110.020546,0.000017,0.0015,0.3586,0,,,,,
111.020386,0.000016,0.0015,0.3461,0,,,,,
112.020210,0.000015,0.0014,0.3317,0,,,,,
113.020050,0.000015,0.0014,0.3305,0,,,,,
114.019882,0.000016,0.0015,0.3513,0,,,,,
115.019714,0.000015,0.0014,0.3260,0,,,,,
116.019554,0.000016,0.0014,0.3406,0,,,,,
117.020554,0.000016,0.0014,0.3423,0,,,,,
118.020386,0.000016,0.0015,0.3457,0,,,,,
119.020210,0.000016,0.0015,0.3468,0,,,,,
120.020050,0.000016,0.0014,0.3417,0,,,,,
121.019882,0.000016,0.0014,0.3425,0,,,,,
122.019714,0.000016,0.0014,0.3428,0,,,,,
123.019547,0.000015,0.0014,0.3318,0,,,,,
124.020546,0.000016,0.0015,0.3452,0,,,,,
125.020386,0.000016,0.0015,0.3439,0,,,,,
126.020210,0.000015,0.0014,0.3366,0,,,,,
127.020050,0.000015,0.0014,0.3243,0,,,,,
128.019882,0.000016,0.0015,0.3438,0,,,,,
129.019714,0.000016,0.0014,0.3396,0,,,,,
130.019547,0.000016,0.0014,0.3382,0,,,,,
131.020554,0.000016,0.0015,0.3566,0,,,,,
