t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
1.019715,0.000015,0.0014,0.3326,0,,,,,
2.020433,0.000015,0.0014,0.3297,0,,,,,
3.020649,0.000014,0.0013,0.3058,0,,,,,
4.019706,0.000015,0.0014,0.3206,0,,,,,
5.019922,0.000014,0.0013,0.3069,0,,,,,
6.020138,0.000014,0.0013,0.3051,0,,,,,
7.020358,0.000014,0.0013,0.3043,0,,,,,
8.020574,0.000014,0.0012,0.2938,0,,,,,
9.019631,0.000013,0.0012,0.2906,0,,,,,
10.019847,0.000014,0.0013,0.3131,0,,,,,
11.020063,0.000014,0.0013,0.3010,0,,,,,
12.020283,0.000014,0.0013,0.2990,0,,,,,
13.020499,0.000014,0.0013,0.3075,0,,,,,
14.019552,0.000014,0.0013,0.3075,0,,,,,
15.019772,0.000014,0.0013,0.3043,0,,,,,
16.019987,0.000015,0.0013,0.3160,0,,,,,
17.020205,0.000014,0.0013,0.3068,0,,,,,
18.020424,0.000014,0.0013,0.3011,0,,,,,
19.020639,0.000015,0.0013,0.3192,0,,,,,
20.019691,0.000014,0.0012,0.2947,0,,,,,
21.019913,0.000014,0.0013,0.2994,0,,,,,
22.020128,0.000014,0.0013,0.2967,0,,,,,
23.020344,0.000014,0.0013,0.3080,0,,,,,
24.020563,0.024727,2.2686,537.0892,0,,,,,
25.019617,0.036766,3.3731,798.5807,0,,,,,
26.019835,0.037079,3.4018,805.3829,0,,,,,
27.020054,0.036267,3.3274,787.7520,0,,,,,
28.020269,0.036753,3.3719,798.2981,0,,,,,
29.020487,0.037090,3.4028,805.6194,0,,,,,
30.019545,0.036231,3.3240,786.9574,1,24.020563,796.9372,1,-1,1
31.019922,0.036927,3.3879,802.0801,0,,,,,
32.020138,0.036820,3.3781,799.7662,0,,,,,
33.020359,0.036222,3.3232,786.7787,0,,,,,
34.020576,0.037057,3.3999,804.9147,0,,,,,
35.019630,0.036831,3.3791,800.0044,0,,,,,
36.019848,0.036210,3.3221,786.4980,0,,,,,
37.020065,0.037015,3.3959,803.9911,0,,,,,
38.020283,0.036785,3.3748,798.9933,0,,,,,
39.020500,0.036253,3.3260,787.4402,0,,,,,
40.019550,0.037129,3.4065,806.4777,0,,,,,
41.019772,0.036564,3.3546,794.1959,0,,,,,
42.019989,0.036369,3.3367,789.9573,0,,,,,
43.020203,0.037124,3.4060,806.3704,0,,,,,
44.020424,0.036131,3.3149,784.7969,0,,,,,
45.020641,0.036659,3.3633,796.2625,0,,,,,
46.019691,0.036864,3.3821,800.7048,0,,,,,
47.019913,0.036012,3.3039,782.2048,0,,,,,
48.020126,0.036939,3.3890,802.3340,0,,,,,
49.020344,0.036102,3.3122,784.1574,0,,,,,
50.020565,0.036630,3.3606,795.6261,0,,,,,
51.019615,0.023867,2.1897,518.4144,0,,,,,
52.019833,0.000086,0.0078,1.8581,0,,,,,
53.020058,0.000039,0.0036,0.8532,0,,,,,
54.020271,0.000020,0.0019,0.4442,0,,,,,
55.020489,0.000016,0.0014,0.3392,0,,,,,
56.019543,0.000014,0.0013,0.3050,0,,,,,
57.019760,0.000014,0.0013,0.3017,1,51.019615,792.9874,-1,-1,1
58.019978,0.000013,0.0012,0.2913,0,,,,,
59.020195,0.000014,0.0013,0.3026,0,,,,,
60.020412,0.000014,0.0013,0.3080,0,,,,,
61.020634,0.000014,0.0012,0.2947,0,,,,,
62.019684,0.000014,0.0013,0.2990,0,,,,,
63.019901,0.000014,0.0013,0.2978,0,,,,,
64.020119,0.000014,0.0013,0.3060,0,,,,,
65.020332,0.000014,0.0013,0.3129,0,,,,,
66.020554,0.000014,0.0012,0.2957,0,,,,,
67.019608,0.000013,0.0012,0.2815,0,,,,,
68.019821,0.000014,0.0012,0.2949,0,,,,,
69.020042,0.000014,0.0013,0.2969,0,,,,,
70.020264,0.000013,0.0012,0.2896,0,,,,,
71.020477,0.000014,0.0013,0.3015,0,,,,,
72.019531,0.000014,0.0013,0.2976,0,,,,,
