t_s,vrms,irms,power,event,event_t_s,delta_va,direction
3.020514,0.000008,0.0007,0.1774,0,,,
4.019944,0.000009,0.0009,0.2049,0,,,
5.019381,0.000009,0.0009,0.2013,0,,,
6.019979,0.000009,0.0008,0.1939,0,,,
7.019411,0.000009,0.0008,0.1991,0,,,
8.020002,0.000010,0.0009,0.2116,0,,,
9.019434,0.000009,0.0008,0.1996,0,,,
10.020032,0.000009,0.0008,0.1978,0,,,
11.019468,0.000009,0.0008,0.1953,0,,,
12.020063,0.000009,0.0009,0.2018,0,,,
13.019521,0.000009,0.0008,0.1927,0,,,
14.020144,0.000009,0.0008,0.2006,0,,,
15.019596,0.000009,0.0008,0.1964,0,,,
16.020208,0.000009,0.0009,0.2034,0,,,
17.019640,0.000009,0.0008,0.2005,0,,,
18.020269,0.000009,0.0008,0.1978,0,,,
19.019728,0.000009,0.0008,0.1975,0,,,
20.020350,0.000009,0.0008,0.1921,0,,,
21.019804,0.000010,0.0009,0.2101,0,,,
22.020412,0.000009,0.0009,0.2041,0,,,
23.019848,0.000009,0.0009,0.2026,0,,,
24.020468,0.000009,0.0008,0.2006,0,,,
25.019913,0.000009,0.0009,0.2021,0,,,
26.019373,0.000009,0.0008,0.1963,0,,,
27.020000,0.000009,0.0008,0.1897,0,,,
28.019457,0.000010,0.0009,0.2070,0,,,
29.020063,0.000009,0.0008,0.1925,0,,,
30.019520,0.000009,0.0009,0.2027,0,,,
31.020121,0.000010,0.0009,0.2071,0,,,
32.019573,0.000009,0.0008,0.1931,0,,,
33.020187,0.000009,0.0009,0.2060,0,,,
34.019630,0.000009,0.0008,0.1946,0,,,
35.020260,0.000009,0.0009,0.2013,0,,,
36.019718,0.000009,0.0008,0.1965,0,,,
37.020336,0.000009,0.0008,0.1986,0,,,
38.019791,0.000009,0.0008,0.2001,0,,,
39.020401,0.000010,0.0009,0.2078,0,,,
40.019848,0.000010,0.0009,0.2075,0,,,
41.020470,0.000009,0.0008,0.1993,0,,,
42.019913,0.000009,0.0008,0.1942,0,,,
43.019371,0.000008,0.0008,0.1840,0,,,
44.019993,0.000009,0.0009,0.2020,0,,,
45.019466,0.016263,1.4921,353.2512,0,,,
46.020126,0.036538,3.3522,793.6221,0,,,
47.019642,0.036411,3.3406,790.8813,0,,,
48.020306,0.036120,3.3139,784.5552,1,45.019466,789.4929,1
49.020454,0.036327,3.3328,789.0433,0,,,
50.019981,0.036285,3.3290,788.1298,0,,,
51.019493,0.036387,3.3383,790.3417,0,,,
52.020153,0.036444,3.3436,791.5967,0,,,
53.019653,0.036255,3.3262,787.4882,0,,,
54.020306,0.036128,3.3146,784.7201,0,,,
55.019802,0.036313,3.3315,788.7402,0,,,
56.020470,0.036399,3.3394,790.6088,0,,,
57.019966,0.036310,3.3312,788.6709,0,,,
58.019470,0.036184,3.3197,785.9326,0,,,
59.020126,0.036307,3.3310,788.6046,0,,,
60.019619,0.036398,3.3394,790.5969,0,,,
61.020283,0.036221,3.3231,786.7452,0,,,
62.019760,0.036141,3.3157,785.0027,0,,,
63.020424,0.036338,3.3338,789.2863,0,,,
64.019897,0.026673,2.4472,579.3672,0,,,
65.019394,0.000013,0.0012,0.2822,0,,,
66.019989,0.000010,0.0009,0.2067,0,,,
67.019447,0.000009,0.0008,0.1931,1,64.019897,786.7841,-1
68.019432,0.000009,0.0008,0.1951,0,,,
69.020058,0.000009,0.0008,0.1977,0,,,
70.019508,0.000009,0.0008,0.1901,0,,,
71.020119,0.000008,0.0008,0.1835,0,,,
72.019585,0.000009,0.0008,0.1966,0,,,
73.020195,0.000009,0.0008,0.1941,0,,,
74.019653,0.000009,0.0009,0.2024,0,,,
75.020264,0.000009,0.0008,0.1874,0,,,
76.019722,0.000009,0.0008,0.1975,0,,,
77.020325,0.000009,0.0008,0.1931,0,,,
78.019783,0.000009,0.0008,0.1959,0,,,
