capture,t_s,appliance,action
confirm,83.02,sandwich_maker,on
confirm,496.02,sandwich_maker,on
confirm,544.02,sandwich_maker,off
confirm,647.02,sandwich_maker,on
confirm,672.02,sandwich_maker,off
confirm,688.02,sandwich_maker,on
confirm,707.02,sandwich_maker,off
confirm,728.02,fan,on
confirm,736.02,charger,on
confirm,881.02,fan+charger,off
confirm,1129.02,fan,on
confirm,1153.02,fan,off
confirm,1167.02,fan,on
confirm,1188.02,fan,off
confirm,1203.02,fan,on
confirm,1224.02,fan,off
confirm,1257.02,charger,on
confirm,1293.02,charger,off
confirm,1308.02,charger,on
confirm,1342.02,charger,off
confirm,1359.02,charger,on
confirm,1443.02,charger,off
confirm,1472.02,sandwich_maker+fan,on
confirm,1503.02,sandwich_maker+fan,off
confirm,1527.02,sandwich_maker,on
confirm-2,45.02,sandwich_maker,on
confirm-2,64.02,sandwich_maker,off
