t_s,vrms,irms,power,event,event_t_s,delta_va,direction
3.020512,0.000008,0.0007,0.1646,0,,,
4.019957,0.000010,0.0009,0.2096,0,,,
5.019402,0.000009,0.0009,0.2063,0,,,
6.020010,0.000009,0.0008,0.1992,0,,,
7.019456,0.000009,0.0009,0.2022,0,,,
8.020063,0.000009,0.0009,0.2016,0,,,
9.019536,0.000009,0.0008,0.1899,0,,,
10.020142,0.000009,0.0009,0.2029,0,,,
11.019618,0.000009,0.0008,0.1981,0,,,
12.020226,0.000010,0.0009,0.2082,0,,,
13.019684,0.000009,0.0008,0.1954,0,,,
14.020284,0.000010,0.0009,0.2111,0,,,
15.019719,0.000010,0.0009,0.2088,0,,,
16.020329,0.000009,0.0008,0.1928,0,,,
17.019779,0.000010,0.0009,0.2072,0,,,
18.020412,0.000009,0.0008,0.1991,0,,,
19.019859,0.000009,0.0009,0.2036,0,,,
20.020475,0.000010,0.0009,0.2072,0,,,
21.019936,0.000009,0.0008,0.1918,0,,,
22.019392,0.000009,0.0008,0.1985,0,,,
23.020012,0.000009,0.0008,0.1970,0,,,
24.019491,0.000010,0.0009,0.2080,0,,,
25.020100,0.000009,0.0008,0.1913,0,,,
26.019564,0.000009,0.0008,0.1950,0,,,
27.020185,0.000009,0.0009,0.2027,0,,,
28.019642,0.000010,0.0009,0.2140,0,,,
29.020248,0.000009,0.0008,0.1931,0,,,
30.019684,0.000009,0.0008,0.1944,0,,,
31.020292,0.000009,0.0009,0.2016,0,,,
32.019749,0.000009,0.0009,0.2060,0,,,
33.020359,0.000009,0.0009,0.2014,0,,,
34.019840,0.000009,0.0009,0.2017,0,,,
35.020477,0.000009,0.0009,0.2060,0,,,
36.019924,0.000009,0.0009,0.2026,0,,,
37.019390,0.000009,0.0008,0.2010,0,,,
38.020008,0.000009,0.0009,0.2037,0,,,
39.019470,0.000010,0.0009,0.2074,0,,,
40.020077,0.000010,0.0009,0.2096,0,,,
41.019543,0.000009,0.0008,0.2004,0,,,
42.020145,0.000009,0.0009,0.2024,0,,,
43.019596,0.000010,0.0009,0.2111,0,,,
44.020218,0.000010,0.0009,0.2082,0,,,
45.019676,0.000010,0.0009,0.2118,0,,,
46.020290,0.000009,0.0008,0.2006,0,,,
47.019753,0.000009,0.0009,0.2015,0,,,
48.020378,0.000010,0.0009,0.2083,0,,,
49.019859,0.000010,0.0009,0.2078,0,,,
50.020477,0.000009,0.0009,0.2039,0,,,
51.019920,0.000009,0.0008,0.1887,0,,,
52.019379,0.000009,0.0009,0.2042,0,,,
53.020023,0.000010,0.0009,0.2098,0,,,
54.019478,0.000010,0.0009,0.2086,0,,,
55.020100,0.000010,0.0009,0.2073,0,,,
56.019554,0.000010,0.0009,0.2086,0,,,
57.020164,0.000009,0.0008,0.1983,0,,,
58.019615,0.000009,0.0008,0.1961,0,,,
59.020226,0.000010,0.0009,0.2082,0,,,
60.019684,0.000009,0.0008,0.1994,0,,,
61.020290,0.000010,0.0009,0.2075,0,,,
62.019760,0.000009,0.0009,0.2046,0,,,
63.020370,0.000010,0.0009,0.2065,0,,,
64.019829,0.000009,0.0008,0.1971,0,,,
65.020447,0.000009,0.0008,0.1974,0,,,
66.019913,0.000009,0.0008,0.1895,0,,,
67.020523,0.000009,0.0008,0.1878,0,,,
68.019943,0.000009,0.0008,0.1974,0,,,
69.019409,0.000010,0.0009,0.2075,0,,,
70.020027,0.000009,0.0008,0.2005,0,,,
71.019485,0.000009,0.0008,0.1970,0,,,
72.020111,0.000009,0.0009,0.2032,0,,,
73.019577,0.000009,0.0009,0.2040,0,,,
74.020187,0.000009,0.0009,0.2020,0,,,
75.019653,0.000010,0.0009,0.2096,0,,,
76.020279,0.000009,0.0008,0.1954,0,,,
77.019753,0.000009,0.0009,0.2023,0,,,
78.020363,0.000010,0.0009,0.2102,0,,,
79.019836,0.000009,0.0009,0.2060,0,,,
80.020477,0.000009,0.0008,0.1969,0,,,
81.019920,0.000009,0.0008,0.2003,0,,,
82.019379,0.000009,0.0009,0.2034,0,,,
83.019997,0.034078,3.1265,740.2026,0,,,
84.019470,0.037276,3.4199,809.6704,0,,,
85.020096,0.036949,3.3899,802.5550,0,,,
86.019569,0.036690,3.3662,796.9368,1,83.019997,802.8538,1
87.019691,0.037160,3.4093,807.1492,0,,,
88.020325,0.037418,3.4329,812.7466,0,,,
89.019814,0.037483,3.4389,814.1490,0,,,
90.020447,0.037067,3.4007,805.1276,0,,,
91.019920,0.036717,3.3686,797.5096,0,,,
92.019409,0.036437,3.3429,791.4338,0,,,
93.020058,0.036708,3.3678,797.3252,0,,,
94.019547,0.037204,3.4133,808.0892,0,,,
95.020180,0.037349,3.4266,811.2540,0,,,
96.019669,0.037033,3.3976,804.3788,0,,,
97.020332,0.036736,3.3703,797.9257,0,,,
98.019836,0.036457,3.3448,791.8764,0,,,
99.020515,0.036419,3.3413,791.0583,0,,,
100.019981,0.037070,3.4010,805.1787,0,,,
101.019478,0.037514,3.4417,814.8305,0,,,
102.020119,0.037357,3.4273,811.4172,0,,,
103.019608,0.036878,3.3833,801.0068,0,,,
104.020248,0.036449,3.3440,791.7023,0,,,
105.019730,0.036573,3.3554,794.3969,0,,,
106.020370,0.037096,3.4034,805.7441,0,,,
107.019859,0.037419,3.4330,812.7733,0,,,
108.020515,0.037415,3.4326,812.6760,0,,,
109.019966,0.036659,3.3633,796.2684,0,,,
110.019432,0.036938,3.3889,802.3210,0,,,
111.020065,0.037471,3.4378,813.8925,0,,,
112.019539,0.037329,3.4248,810.8172,0,,,
113.020164,0.036719,3.3688,797.5563,0,,,
114.019638,0.036339,3.3339,789.3118,0,,,
115.020271,0.036550,3.3533,793.8881,0,,,
116.019737,0.037317,3.4237,810.5544,0,,,
117.020370,0.037234,3.4160,808.7420,0,,,
118.019867,0.036885,3.3840,801.1642,0,,,
119.020493,0.036527,3.3512,793.3883,0,,,
120.019981,0.036954,3.3904,802.6663,0,,,
121.019470,0.037224,3.4151,808.5284,0,,,
122.020119,0.037064,3.4005,805.0670,0,,,
123.019608,0.036729,3.3698,797.7908,0,,,
124.020248,0.036508,3.3494,792.9810,0,,,
125.019730,0.036711,3.3681,797.3953,0,,,
126.020370,0.037265,3.4189,809.4287,0,,,
127.019882,0.037143,3.4077,806.7725,0,,,
128.019394,0.037111,3.4048,806.0795,0,,,
129.020050,0.037218,3.4146,808.4081,0,,,
130.019562,0.037264,3.4188,809.4016,0,,,
131.020218,0.037004,3.3949,803.7435,0,,,
132.019730,0.036526,3.3511,793.3660,0,,,
133.020386,0.036213,3.3224,786.5786,0,,,
134.019882,0.036403,3.3398,790.6891,0,,,
135.019379,0.036979,3.3927,803.2178,0,,,
136.020035,0.037150,3.4084,806.9284,0,,,
137.019516,0.036914,3.3867,801.8021,0,,,
138.020157,0.036471,3.3460,792.1744,0,,,
139.019653,0.036355,3.3355,789.6678,0,,,
140.020294,0.036715,3.3684,797.4718,0,,,
141.019760,0.037020,3.3964,804.0920,0,,,
142.020401,0.036482,3.3471,792.4166,0,,,
143.019867,0.036070,3.3092,783.4587,0,,,
144.020508,0.036505,3.3492,792.9237,0,,,
145.019989,0.037088,3.4027,805.5784,0,,,
146.019455,0.036526,3.3511,793.3771,0,,,
147.020081,0.036360,3.3359,789.7701,0,,,
148.019547,0.037081,3.4021,805.4369,0,,,
149.020187,0.037061,3.4002,804.9912,0,,,
150.019653,0.036530,3.3514,793.4520,0,,,
151.020294,0.036165,3.3180,785.5353,0,,,
152.019745,0.036616,3.3593,795.3198,0,,,
153.020386,0.036964,3.3913,802.8852,0,,,
154.019852,0.036569,3.3551,794.3164,0,,,
155.020493,0.036100,3.3120,784.1238,0,,,
156.019974,0.035990,3.3019,781.7330,0,,,
157.019440,0.036558,3.3540,794.0673,0,,,
158.020065,0.036822,3.3782,799.7985,0,,,
159.019531,0.036301,3.3305,788.4855,0,,,
160.020157,0.035976,3.3006,781.4233,0,,,
161.019653,0.036073,3.3095,783.5231,0,,,
162.020279,0.036622,3.3599,795.4626,0,,,
163.019745,0.036870,3.3827,800.8535,0,,,
164.020386,0.036478,3.3467,792.3196,0,,,
165.019852,0.036018,3.3045,782.3428,0,,,
166.020508,0.035977,3.3007,781.4521,0,,,
167.019974,0.036648,3.3623,796.0186,0,,,
168.019455,0.036857,3.3814,800.5526,0,,,
169.020096,0.036421,3.3414,791.0854,0,,,
170.019577,0.036016,3.3043,782.3040,0,,,
171.020218,0.036175,3.3189,785.7518,0,,,
172.019714,0.036868,3.3825,800.8054,0,,,
173.020370,0.036753,3.3719,798.2958,0,,,
174.019852,0.036263,3.3270,787.6630,0,,,
