capture,t_s,appliance,action
session-1,506.02,sandwich_maker,on
session-1,522.02,sandwich_maker,off
session-1,1269.02,sandwich_maker,on
session-1,1326.02,sandwich_maker,off
session-1,1536.02,sandwich_maker,on
session-1,1561.02,sandwich_maker,off
session-1,1588.02,sandwich_maker,on
session-1,1612.02,sandwich_maker,off
session-1,1652.02,fan,on
session-1,1680.02,fan,off
session-1,1708.02,fan,on
session-1,1727.02,fan,off
session-1,1749.02,fan,on
session-1,1767.02,fan,off
session-1,1858.02,charger,on
session-1,1890.02,charger,off
session-1,1918.02,charger,on
session-1,1942.02,charger,off
session-1,1960.02,charger,on
session-1,1979.02,charger,off
session-1,2037.02,charger,on
session-1,2050.02,charger,off
session-1,2062.02,fan,on
session-1,2194.02,fan,off
session-1,2236.02,fan,on
session-1,2291.02,fan,off
session-1,2312.02,fan,on
session-1,2364.02,fan,off
session-1,2499.02,sandwich_maker+fan,on
session-1,2528.02,sandwich_maker+fan,off
session-1,2599.02,sandwich_maker+charger,on
session-1,2619.02,sandwich_maker+charger,off
session-1,2652.02,fan+charger,on
session-1,2674.02,fan+charger,off
session-2,65.02,sandwich_maker,on
session-3,311.02,sandwich_maker,on
session-3,338.02,fan,on
session-3,341.02,sandwich_maker,off
session-4,158.02,sandwich_maker,on
session-4,246.02,sandwich_maker,off
session-5,597.02,sandwich_maker,on
session-5,612.02,fan,on
session-5,628.02,charger,on
session-5,708.02,charger,off
session-5,722.02,sandwich_maker,off
session-5,780.02,fan,off
