t_s,vrms,irms,power,event,event_t_s,delta_va,direction
3.020407,0.041422,3.8003,899.7267,0,,,
4.020148,0.041435,3.8014,899.9883,0,,,
5.019909,0.041497,3.8072,901.3540,0,,,
6.019658,0.041709,3.8267,905.9605,1,4.020148,31.6650,-1
7.020169,0.041414,3.7996,899.5455,0,,,
8.019927,0.041224,3.7821,895.4055,0,,,
9.019690,0.041234,3.7831,895.6411,0,,,
10.020601,0.041160,3.7763,894.0275,0,,,
11.020363,0.041254,3.7848,896.0626,0,,,
12.020125,0.041512,3.8086,901.6780,0,,,
13.019887,0.041476,3.8052,900.8804,0,,,
14.019645,0.041445,3.8024,900.2133,0,,,
15.020561,0.041609,3.8174,903.7794,0,,,
16.020311,0.041363,3.7949,898.4391,0,,,
17.020073,0.041151,3.7754,893.8371,0,,,
18.019833,0.041287,3.7879,896.7872,0,,,
19.019585,0.041313,3.7903,897.3566,0,,,
20.020504,0.041554,3.8124,902.5876,0,,,
21.020252,0.041355,3.7941,898.2593,0,,,
22.020016,0.041412,3.7993,899.4901,0,,,
23.019789,0.041230,3.7827,895.5432,0,,,
24.019560,0.041248,3.7843,895.9327,0,,,
25.020481,0.041118,3.7724,893.1122,0,,,
26.020252,0.041345,3.7932,898.0397,0,,,
27.020037,0.041469,3.8046,900.7471,0,,,
28.019819,0.041595,3.8162,903.4763,0,,,
29.019592,0.041501,3.8075,901.4237,0,,,
30.020527,0.041296,3.7887,896.9858,0,,,
31.020298,0.041261,3.7855,896.2157,0,,,
32.020073,0.041255,3.7850,896.0894,0,,,
33.019844,0.041130,3.7735,893.3714,0,,,
34.019615,0.041068,3.7678,892.0264,0,,,
35.020550,0.040883,3.7509,888.0149,0,,,
36.020321,0.041171,3.7772,894.2602,0,,,
37.020088,0.041085,3.7694,892.3974,0,,,
38.019875,0.040968,3.7586,889.8469,0,,,
39.019646,0.040885,3.7511,888.0618,0,,,
40.020584,0.041082,3.7691,892.3334,0,,,
41.020351,0.041077,3.7687,892.2286,0,,,
42.020123,0.041118,3.7724,893.1136,0,,,
43.019913,0.041117,3.7723,893.0821,0,,,
44.019688,0.041057,3.7668,891.7899,0,,,
45.019459,0.041084,3.7692,892.3671,0,,,
46.020401,0.040955,3.7575,889.5833,0,,,
47.020168,0.041025,3.7638,891.0912,0,,,
48.019939,0.041113,3.7719,893.0037,0,,,
49.019711,0.041152,3.7755,893.8535,0,,,
50.019482,0.041209,3.7808,895.1003,0,,,
51.020420,0.041382,3.7966,898.8505,0,,,
52.020191,0.041438,3.8018,900.0698,0,,,
53.019974,0.041351,3.7938,898.1827,0,,,
54.019749,0.041109,3.7715,892.9137,0,,,
55.019505,0.040960,3.7579,889.6885,0,,,
56.020420,0.041029,3.7643,891.1871,0,,,
57.020168,0.041032,3.7645,891.2446,0,,,
58.019928,0.028489,2.6138,618.8065,0,,,
59.019688,0.006258,0.5742,135.9371,0,,,
60.020599,0.006267,0.5750,136.1257,1,58.019928,593.7501,-1
61.019939,0.006102,0.5598,132.5414,0,,,
62.019703,0.006105,0.5601,132.6010,0,,,
63.019451,0.006223,0.5709,135.1664,1,61.019939,163.5202,-1
64.019951,0.006169,0.5659,133.9855,0,,,
65.019714,0.006148,0.5640,133.5387,0,,,
66.019463,0.006081,0.5579,132.0910,0,,,
67.020378,0.006092,0.5589,132.3237,0,,,
68.020134,0.006059,0.5559,131.6036,0,,,
69.019897,0.006114,0.5610,132.8063,0,,,
70.019630,0.006236,0.5722,135.4566,0,,,
71.020538,0.006189,0.5678,134.4374,0,,,
72.020287,0.006162,0.5653,133.8353,0,,,
73.020035,0.006238,0.5723,135.4965,0,,,
74.019760,0.006192,0.5681,134.5031,0,,,
75.019493,0.006183,0.5673,134.3075,0,,,
