attempt,t_s,vrms,phase,included_in_mean,note
1,4.173,0.026472,cold,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,5.173,0.037826,cold,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,6.173,0.038281,cold,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,7.174,0.035736,cold,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,8.173,0.034193,cold,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,9.173,0.036219,cold,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,10.173,0.03825,cold,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,11.174,0.037996,cold,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,12.174,0.035292,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,13.175,0.034216,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,14.174,0.036224,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,15.174,0.038158,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,16.174,0.03841,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,17.175,0.036359,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,18.175,0.034191,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,19.174,0.034955,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,20.174,0.037229,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,21.175,0.0384,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,22.175,0.037991,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,23.175,0.035529,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,24.174,0.03404,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,25.175,0.035123,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,26.175,0.037198,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,27.175,0.038371,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,28.175,0.03819,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,29.176,0.03624,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,30.175,0.034193,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,31.175,0.03468,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,32.175,0.036776,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,33.176,0.038257,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,34.176,0.038206,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,35.175,0.035505,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,36.175,0.033801,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,37.176,0.034951,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,38.176,0.037036,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,39.176,0.038247,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,40.175,0.037883,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,41.175,0.035687,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,42.176,0.033987,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,43.176,0.034651,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,44.176,0.036677,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,45.177,0.03805,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,46.176,0.038297,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
1,47.176,0.036914,heating,false,"discarded: oscillation artifact (~4.4% rel. stdev), matching a previously documented marginal-connection signature; cleared after physically inspecting the rig (see doc)"
