point,turns,load,sample_index,vrms_v,included_in_mean,note
1turn_socket_loose,1,soldering_iron,1,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,2,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,3,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,4,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,5,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,6,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,7,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,8,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,9,0.000011,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,10,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,11,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,12,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,13,0.000011,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,14,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,15,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,16,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,17,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,18,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,19,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,20,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,21,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,22,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,23,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,24,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,25,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,26,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,27,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,28,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,29,0.000011,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,30,0.000011,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,31,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,32,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,33,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,34,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,35,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,36,0.000011,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,37,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,38,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,39,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,40,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,41,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,42,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,43,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,44,0.000010,False,iron's mains socket was not fully seated; discarded
1turn_socket_loose,1,soldering_iron,45,0.000011,False,iron's mains socket was not fully seated; discarded
10turn_initial,10,soldering_iron,1,0.028723,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,2,0.028757,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,3,0.028725,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,4,0.028706,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,5,0.028758,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,6,0.028804,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,7,0.028774,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,8,0.028747,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,9,0.028706,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,10,0.028711,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,11,0.028696,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,12,0.028713,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,13,0.028737,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,14,0.028738,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,15,0.028732,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,16,0.028677,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,17,0.028615,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,18,0.028599,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,19,0.028580,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,20,0.028520,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,21,0.028503,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,22,0.028769,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,23,0.028898,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,24,0.028932,True,first clean 10-turn plateau; used for turn-count verification
